+====================+===================+====================================================================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                                                                                |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_30_fu_450_reg[21]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_dw_kernel/grp_dwk5_Pipeline_VITIS_LOOP_83_8_VITIS_LOOP_84_9_fu_4726/ap_phi_reg_pp0_iter1_incoming_channels_31_reg_15818_reg[0]/D |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_21_fu_414_reg[29]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[23]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_22_fu_418_reg[26]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[24]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[21]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[26]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_29_fu_446_reg[23]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_29_fu_446_reg[24]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_29_fu_446_reg[22]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_28_fu_442_reg[28]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_28_fu_442_reg[26]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_23_fu_422_reg[30]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_28_fu_442_reg[25]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_29_fu_446_reg[26]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_28_fu_442_reg[30]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_dw_kernel/grp_dwk5_Pipeline_VITIS_LOOP_83_8_VITIS_LOOP_84_9_fu_4726/ap_phi_reg_pp0_iter1_incoming_channels_30_reg_15832_reg[7]/D |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_26_fu_434_reg[31]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_22_fu_418_reg[27]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_30_fu_450_reg[17]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_dw_kernel/grp_dwk5_Pipeline_VITIS_LOOP_83_8_VITIS_LOOP_84_9_fu_4726/ap_phi_reg_pp0_iter1_incoming_channels_31_reg_15818_reg[3]/D |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_23_fu_422_reg[28]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_18_fu_402_reg[31]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_18_fu_402_reg[26]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_26_fu_434_reg[29]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[9]/D                                                                                        |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_30_fu_450_reg[22]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_30_fu_450_reg[28]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[19]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_21_fu_414_reg[25]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_dw_kernel/grp_dwk5_Pipeline_VITIS_LOOP_83_8_VITIS_LOOP_84_9_fu_4726/ap_phi_reg_pp0_iter1_incoming_channels_31_reg_15818_reg[5]/D |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_18_fu_402_reg[29]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[20]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_dw_kernel/grp_dwk5_Pipeline_VITIS_LOOP_83_8_VITIS_LOOP_84_9_fu_4726/ap_phi_reg_pp0_iter1_incoming_channels_21_reg_15958_reg[1]/D |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_21_fu_414_reg[31]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_21_fu_414_reg[30]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[17]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_29_fu_446_reg[13]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_dw_kernel/grp_dwk5_Pipeline_VITIS_LOOP_83_8_VITIS_LOOP_84_9_fu_4726/ap_phi_reg_pp0_iter1_incoming_channels_30_reg_15832_reg[4]/D |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[22]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_29_fu_446_reg[19]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_28_fu_442_reg[23]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_29_fu_446_reg[20]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_22_fu_418_reg[29]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_30_fu_450_reg[24]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_28_fu_442_reg[24]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_29_fu_446_reg[17]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_23_fu_422_reg[23]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_18_fu_402_reg[27]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_28_fu_442_reg[21]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_22_fu_418_reg[31]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_30_fu_450_reg[23]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_21_fu_414_reg[13]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_23_fu_422_reg[21]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_30_fu_450_reg[15]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_26_fu_434_reg[27]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_30_fu_450_reg[13]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_26_fu_434_reg[28]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_dw_kernel/grp_dwk5_Pipeline_VITIS_LOOP_83_8_VITIS_LOOP_84_9_fu_4726/ap_phi_reg_pp0_iter1_incoming_channels_17_reg_16014_reg[6]/D |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_30_fu_450_reg[18]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_18_fu_402_reg[28]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_26_fu_434_reg[25]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_dw_kernel/grp_dwk5_Pipeline_VITIS_LOOP_83_8_VITIS_LOOP_84_9_fu_4726/ap_phi_reg_pp0_iter1_incoming_channels_21_reg_15958_reg[2]/D |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_21_fu_414_reg[21]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_26_fu_434_reg[30]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[15]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[10]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_20_fu_410_reg[16]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_24_fu_426_reg[31]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_18_fu_402_reg[19]/D                                                                                       |
| sys_clk_p          | sys_clk_p         | u_pw_expand_kernel/empty_21_fu_414_reg[28]/D                                                                                       |
+--------------------+-------------------+------------------------------------------------------------------------------------------------------------------------------------+
